City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.0752,-159.319,73.38,83,44,1.99,scattered clouds
1,Bluff,NZ,-46.6,168.3333,48.2,76,40,11.48,scattered clouds
2,Severo-Yeniseyskiy,RU,60.3725,93.0408,-20.54,95,65,2.91,broken clouds
3,Totskoye,RU,52.5248,52.7623,10.85,96,31,3.4,scattered clouds
4,Chokurdakh,RU,70.6333,147.9167,-6.59,99,87,2.86,overcast clouds
5,Vaini,TO,-21.2,-175.2,78.96,94,40,4.61,scattered clouds
6,Georgetown,MY,5.4112,100.3354,82.33,85,20,5.75,few clouds
7,Surt,LY,31.2089,16.5887,65.37,60,100,14.45,overcast clouds
8,Yuancheng,CN,36.652,107.7896,26.01,43,1,16.55,clear sky
9,Port Macquarie,AU,-31.4333,152.9167,57.88,83,30,7.11,scattered clouds
10,Saint-Francois,FR,46.4154,3.9054,58.68,63,0,12.66,clear sky
11,Hermanus,ZA,-34.4187,19.2345,68.81,59,29,16.53,scattered clouds
12,Ushuaia,AR,-54.8,-68.3,53.26,71,75,10.36,broken clouds
13,Cape Town,ZA,-33.9258,18.4232,77.11,59,20,27.63,few clouds
14,Jamestown,US,42.097,-79.2353,28.54,92,100,3.0,overcast clouds
15,Puerto Ayora,EC,-0.7393,-90.3518,75.16,94,69,1.99,broken clouds
16,Sandwick,GB,60.0,-1.25,46.22,81,20,16.11,light rain
17,Poum,NC,-20.2333,164.0167,77.99,80,13,15.7,few clouds
18,Naryan-Mar,RU,67.6713,53.087,-4.27,100,97,4.5,overcast clouds
19,New Norfolk,AU,-42.7826,147.0587,54.9,69,19,1.99,few clouds
20,Alakurtti,RU,66.9672,30.3491,8.15,98,100,2.57,overcast clouds
21,Port Blair,IN,11.6667,92.75,80.78,73,17,13.69,few clouds
22,Sribne,UA,50.6638,32.9187,30.58,66,100,17.74,snow
23,Paamiut,GL,61.994,-49.6678,13.87,59,0,8.3,clear sky
24,Port Hueneme,US,34.1478,-119.1951,55.18,48,0,5.75,clear sky
25,Songjianghe,CN,42.1859,127.479,12.9,76,100,5.66,overcast clouds
26,Mahebourg,MU,-20.4081,57.7,80.89,65,40,11.5,scattered clouds
27,Kahului,US,20.8947,-156.47,75.85,67,84,18.01,broken clouds
28,Mataura,NZ,-46.1927,168.8643,47.28,78,100,1.83,overcast clouds
29,Airai,TL,-8.9266,125.4092,60.06,96,100,1.32,overcast clouds
30,Sena Madureira,BR,-9.0656,-68.6569,74.68,97,100,3.15,overcast clouds
31,Great Falls,US,47.5002,-111.3008,-14.33,71,100,3.2,overcast clouds
32,Maralal,KE,1.0968,36.698,66.45,45,92,11.43,overcast clouds
33,Wanlaweyn,SO,2.6185,44.8938,87.82,37,6,13.71,clear sky
34,Butaritari,KI,3.0707,172.7902,81.0,80,99,15.41,light rain
35,Hithadhoo,MV,-0.6,73.0833,81.59,69,74,11.95,broken clouds
36,Rongcheng,CN,30.634,117.8517,44.15,64,100,2.8,overcast clouds
37,Souillac,MU,-20.5167,57.5167,80.98,65,40,11.5,scattered clouds
38,Clyde River,CA,70.4692,-68.5914,-7.37,84,75,2.3,broken clouds
39,Lar,IN,26.2039,83.9717,62.87,48,3,4.83,clear sky
40,Carnarvon,AU,-24.8667,113.6333,75.09,70,5,17.47,clear sky
41,Geraldton,AU,-28.7667,114.6,72.01,64,79,5.75,broken clouds
42,Longyearbyen,SJ,78.2186,15.6401,8.44,85,40,6.91,scattered clouds
43,Tsabong,BW,-26.0217,22.401,92.3,10,0,15.55,clear sky
44,Lawrence,US,38.9717,-95.2353,21.78,60,24,5.01,few clouds
45,Punta Arenas,CL,-53.15,-70.9167,60.91,36,0,12.66,clear sky
46,Rikitea,PF,-23.1203,-134.9692,76.19,85,100,18.88,overcast clouds
47,Bredasdorp,ZA,-34.5322,20.0403,68.29,51,81,12.88,broken clouds
48,Goderich,CA,43.7501,-81.7165,30.9,79,100,14.09,overcast clouds
49,Shieli,KZ,44.1667,66.75,30.56,68,28,8.43,scattered clouds
50,Ribeira Grande,PT,38.5167,-28.7,66.6,88,40,28.01,scattered clouds
51,Kununurra,AU,-15.7667,128.7333,80.58,89,100,4.61,overcast clouds
52,Kropotkin,RU,45.4375,40.5756,30.92,54,0,8.16,clear sky
53,Prince Rupert,CA,54.3161,-130.3201,4.96,62,0,7.85,clear sky
54,Port Elizabeth,ZA,-33.918,25.5701,69.31,70,75,16.11,broken clouds
55,Novo Aripuana,BR,-5.1206,-60.3797,86.29,64,96,2.53,overcast clouds
56,Khatanga,RU,71.9667,102.5,-35.73,100,20,2.37,few clouds
57,Palma,ES,39.5694,2.6502,68.04,71,20,9.22,few clouds
58,Albany,US,42.6001,-73.9662,30.36,73,8,8.99,clear sky
59,Bambous Virieux,MU,-20.3428,57.7575,79.21,69,40,11.5,scattered clouds
60,Thompson,CA,55.7435,-97.8558,-6.41,87,100,8.86,overcast clouds
61,Hilo,US,19.7297,-155.09,68.25,69,11,2.37,few clouds
62,College,US,64.8569,-147.8028,-39.91,60,0,0.0,haze
63,Kaka,TM,37.3482,59.6143,44.83,36,56,3.42,broken clouds
64,Westport,US,41.1415,-73.3579,36.9,59,2,7.0,clear sky
65,Tulun,RU,54.5611,100.5792,-0.63,99,97,0.56,overcast clouds
66,Garowe,SO,8.4054,48.4845,82.26,47,50,22.73,scattered clouds
67,Provideniya,RU,64.3833,-173.3,17.56,82,7,13.38,clear sky
68,Harlingen,US,26.1906,-97.6961,53.69,96,24,13.8,few clouds
69,Fuyu,CN,45.1833,124.8167,10.71,82,100,5.59,overcast clouds
70,Upernavik,GL,72.7868,-56.1549,14.0,95,100,14.63,overcast clouds
71,Sitka,US,57.0531,-135.33,13.53,72,97,5.59,overcast clouds
72,Comodoro Rivadavia,AR,-45.8667,-67.5,71.02,53,84,4.99,broken clouds
73,Parabel,RU,58.6978,81.4825,29.59,93,100,12.48,overcast clouds
74,Belle Fourche,US,44.6714,-103.8522,0.32,61,100,2.68,overcast clouds
75,Sambava,MG,-14.2667,50.1667,79.18,70,8,4.85,clear sky
76,Busselton,AU,-33.65,115.3333,64.76,68,10,11.61,clear sky
77,Alto Lucero,MX,19.6167,-96.7167,68.97,71,49,4.27,scattered clouds
78,Cayenne,GF,4.9333,-52.3333,82.44,69,100,13.8,overcast clouds
79,Batemans Bay,AU,-35.7167,150.1833,57.22,86,100,2.48,overcast clouds
80,Atarra,IN,25.2833,80.5667,60.8,37,5,1.43,clear sky
81,Nur,PL,52.6683,22.3221,34.27,91,100,11.41,overcast clouds
82,Atuona,PF,-9.8,-139.0333,77.72,81,62,21.52,broken clouds
83,Chuy,UY,-33.6971,-53.4616,76.75,53,1,14.58,clear sky
